R device_connect OK
R device_subscribe gsr OK
E4_Gsr 1502566173.416 0
E4_Gsr 1502566173.666 0
E4_Gsr 1502566173.916 0
E4_Gsr 1502566174.166 0
E4_Gsr 1502566174.416 0
E4_Gsr 1502566174.666 0
R device_subscribe bvp OK
E4_Bvp 1502566017.54628 3.827879
E4_Bvp 1502566017.56191 5.264569
E4_Bvp 1502566017.57753 3.704276
E4_Bvp 1502566017.59316 -0.2301942
E4_Bvp 1502566017.60878 -4.524833
E4_Bvp 1502566017.62441 -6.905929
E4_Bvp 1502566017.64003 -6.147767
E4_Bvp 1502566017.65566 -2.80596
E4_Bvp 1502566017.67129 1.163899
E4_Bvp 1502566017.68691 3.520332
E4_Bvp 1502566017.70254 2.991103
E4_Bvp 1502566017.71816 0.02594964
E4_Bvp 1502566017.73379 -3.560477
E4_Bvp 1502566017.74941 -5.638896
E4_Bvp 1502566017.76504 -5.00723
E4_Bvp 1502566017.78067 -2.045141
E4_Bvp 1502566017.79629 1.535026
E4_Bvp 1502566017.81192 3.659564
E4_Bvp 1502566017.82754 3.171486
E4_Bvp 1502566017.84317 0.4228905
E4_Bvp 1502566017.85879 -2.906016
E4_Bvp 1502566017.87442 -4.800336
E4_Gsr 1502566174.916 0
E4_Gsr 1502566175.166 0
E4_Gsr 1502566175.416 0
E4_Gsr 1502566175.666 0
E4_Gsr 1502566175.916 0
E4_Gsr 1502566176.166 0
E4_Bvp 1502566017.89005 -4.06106
E4_Bvp 1502566017.90567 -1.082115
E4_Bvp 1502566017.9213 2.374103
E4_Bvp 1502566017.93692 4.21064
E4_Bvp 1502566017.95255 3.207607
E4_Bvp 1502566017.96817 -0.1465001
E4_Bvp 1502566017.9838 -3.925254
E4_Bvp 1502566017.99943 -5.857582
E4_Bvp 1502566018.01505 -4.667248
E4_Bvp 1502566018.03068 -0.9095278
E4_Bvp 1502566018.0463 3.236392
E4_Bvp 1502566018.06193 5.252067
E4_Bvp 1502566018.07755 3.725568
E4_Bvp 1502566018.09318 -0.7328188
E4_Bvp 1502566018.10881 -5.818566
E4_Bvp 1502566018.12443 -8.811068
E4_Bvp 1502566018.14006 -8.147963
E4_Bvp 1502566018.15568 -4.329624
E4_Bvp 1502566018.17131 0.3667855
E4_Bvp 1502566018.18693 3.212036
E4_Bvp 1502566018.20256 2.619411
E4_Bvp 1502566018.21819 -0.9579077
E4_Bvp 1502566018.23381 -5.318655
E4_Bvp 1502566018.24944 -7.870879
E4_Bvp 1502566018.26506 -7.100077
E4_Bvp 1502566018.28069 -3.522545
E4_Bvp 1502566018.29631 0.7394185
E4_Bvp 1502566018.31194 3.159919
E4_Bvp 1502566018.32757 2.351452
E4_Bvp 1502566018.34319 -1.163636
E4_Bvp 1502566018.35882 -5.250466
E4_Bvp 1502566018.37444 -7.452255
